Question Number,Question Text,Choices,Correct Answer,LLM Answer,Correct?
23,Which network protocol is used for time synchronization in a network? Choose only one.,"a. ARP
b. DHCP
c. NTP
d. NAT
",c,c,1
24,How many host addresses are available in a Class C network? Choose only one.,"a. 254
b. 512
c. 1022
d. 65534",a,a,1
25,What is the maximum number of IP addresses that can be assigned in a /26 subnet? Choose only one.,"a. 30
b. 62
c. 126
d. 254",b,b,1
26,What is the purpose of the subnet mask in TCP/IP networking? Choose only one.,"a. To identify the network address
b. To identify the broadcast address
c. To determine the number of available hosts
d. To define the range of assignable IP addresses
",a,"a,c",0
27,How many bits are used to represent an IPv6 address? Choose only one.,"a. 32 bits
b. 64 bits
c. 128 bits
d. 256 bits",c,c,1
28,"Which transport protocol is commonly used for web browsing, file transfer, and email communication?","a. TCP
b. UDP
",a,a,1
29,Which transport protocol is commonly used for streaming media and real-time communication?,"a. TCP
b. UDP
",b,b,1
30,Which transport protocol guarantees the order of packet delivery?,"a. TCP
b. UDP
",a,a,1
31,Which transport protocol provides flow control and congestion control mechanisms?,"a. TCP
b. UDP
",a,a,1
32,"Which transport protocol provides unreliable, connectionless communication?","a. TCP
b. UDP
",b,b,1
34,Which IP address class range is reserved for private networks? Select all that apply.,"a. Class A
b. Class B
c. Class C
d. Class D
","a,b,c","b,c",0
35,Which network protocol is used for secure web browsing over an encrypted connection? Choose only one.,"a. DHCP
b. DNS
c. HTTPS
d. SMTP
",c,c,1
36,Which network protocol is used for time synchronization in a network? Choose only one.,"a. ARP
b. DHCP
c. NTP
d. NAT
",c,c,1
37,Which wireless security protocol is vulnerable to brute-force attacks? Choose only one.,"a. WEP
b. WPA
c. WPA2
d. WPA3",a,a,1
38,Which wireless encryption method is considered the most secure? Choose only one.,"a. WEP
b. TKIP
c. AES
d. SSL
",c,c,1
39,Which wireless technology allows devices to connect without the need for a central access point? Choose only one.,"a. Ad-hoc mode
b. Infrastructure mode
c. Mesh networking
d. Wi-Fi Direct
",a,"a,d",0
40,Which wireless technology allows multiple access points to work together as a single network? Choose only one.,"a. Ad-hoc mode
b. Infrastructure mode
c. Mesh networking
d. Wi-Fi Direct
",c,c,1
41,Which wireless technology allows wireless devices to connect to a wired network? Choose only one.,"a. Ad-hoc mode
b. Infrastructure mode
c. Mesh networking
d. Wi-Fi Direct
",b,b,1
42,Which wireless technology is commonly used for short-range communication between devices? Choose only one.,"a. Bluetooth
b. NFC
c. Zigbee
d. Z-Wave
",a,"a,b,c,d",0
43,Which wireless technology is commonly used for contactless payment systems? Choose only one.,"a. Bluetooth
b. NFC
c. Zigbee
d. Z-Wave
",b,b,1
44,Which wireless standard operates in the 5 GHz frequency band? Choose only one.,"a. 802.11ac
b. 802.11b
c. 802.11g
d. 802.11n",a,"a,d",0
45,Which wireless standard provides the highest data transfer rates? Choose only one.,"a. 802.11a
b. 802.11b
c. 802.11g
d. 802.11ac",d,d,1
